matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.referee,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away
fec0tmge,1/8-FINALS,FINISHED,18.05.2024 14:30,Ahly Sfaxien,https://static.flashscore.com/res/image/data/zZNtiZXg-bwClHTY9.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,,,,,,,,,,,,,,,,,
bT3ir9Or,1/8-FINALS,AFTER PENALTIES,19.05.2024 14:30,Sporting Ben Arous,https://static.flashscore.com/res/image/data/GI7DQxgl-Gx7siOZg.png,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,3,2,2-2,4-3,,,,,,,,,,,,,,,
fsIRRmv2,1/8-FINALS,FINISHED,17.05.2024 14:30,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,1,6,,,,,,,,,,,,,,,,,
46tX4m3B,1/8-FINALS,FINISHED,17.05.2024 14:30,OC Kerkennah,https://static.flashscore.com/res/image/data/d8OFA7eM-xtN7tOLM.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,0,2,,,,,,,,,,,,,,,,,
S8e8vRN7,1/8-FINALS,FINISHED,17.05.2024 14:30,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,2,,,,,,,,,,,,,,,,,
6aUJL5E0,1/16-FINALS,AFTER EXTRA TIME,08.05.2024 14:30,OC Kerkennah,https://static.flashscore.com/res/image/data/d8OFA7eM-xtN7tOLM.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,2,1,1-1,,,,,,,,,,,,,,,,
8O0GQFHP,1/16-FINALS,FINISHED,21.04.2024 14:30,Alaouite,https://static.flashscore.com/res/image/data/WKom7JCa-SEk1iHar.png,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,0,3,,,,,,,,,,,,,,,,,
jmWVI3bJ,1/16-FINALS,AFTER PENALTIES,21.04.2024 14:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,2,1-1,3-5,,7 March Stadium (Ben Guerdane),2 000,,,,,,,,,,,,
MVtiKDfg,1/16-FINALS,AFTER EXTRA TIME,21.04.2024 14:30,Bouchamma,https://static.flashscore.com/res/image/data/foguNcxS-p4sXOVPr.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,0-0,,,,,,,,,,,,,,,,
CdXRJqqD,1/16-FINALS,FINISHED,21.04.2024 14:30,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,ES Jerba,https://static.flashscore.com/res/image/data/8W1ttZWg-SfBPiv7T.png,0,1,,,,,,,,,,,,,,,,,
Wx0zUT6K,1/16-FINALS,FINISHED,21.04.2024 14:30,Menzel Kamel,https://static.flashscore.com/res/image/data/zZFdJDXg-jsnMg2qH.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,1,3,,,,,,,,,,,,,,,,,
OzuFMoaf,1/16-FINALS,AFTER EXTRA TIME,21.04.2024 14:30,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,1,0,0-0,,,,,,,,,,,,,,,,
UX1CRe2J,1/16-FINALS,AFTER PENALTIES,21.04.2024 14:30,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,2,3,1-1,2-4,,,,,,,,,,,,,,,
v7inLgum,1/16-FINALS,AFTER EXTRA TIME,21.04.2024 14:30,Moknine,https://static.flashscore.com/res/image/data/l40Nfvil-nPD5ABar.png,Sporting Ben Arous,https://static.flashscore.com/res/image/data/GI7DQxgl-Gx7siOZg.png,2,4,2-2,,,,,,,,,,,,,,,,
pptBNRql,1/16-FINALS,AFTER EXTRA TIME,21.04.2024 14:30,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,0,2,0-0,,,,,,,,,,,,,,,,
IZXNKPT6,1/16-FINALS,FINISHED,20.04.2024 14:30,Ahly Sfaxien,https://static.flashscore.com/res/image/data/zZNtiZXg-bwClHTY9.png,Union Ksibet Mediouni,https://static.flashscore.com/res/image/data/IFOGS6eM-Y3QCyThc.png,3,0,,,,,,,,,,,,,,,,,
Q3mrMZPt,1/16-FINALS,FINISHED,20.04.2024 14:30,Progres Sakiet,https://static.flashscore.com/res/image/data/t0YQckjl-W8kdK7Z2.png,Tazarka,https://static.flashscore.com/res/image/data/E9ObfAhl-tt4O8CA4.png,1,0,,,,,,,,,,,,,,,,,
